,statecounty,ruralurban
1089,KY Perry,1
1090,KY Pike,1
1091,KY Powell,1
1092,KY Pulaski,1
1093,KY Robertson,1
1094,KY Rockcastle,1
1095,KY Rowan,1
1096,KY Russell,1
1097,KY Scott,0
1098,KY Shelby,0
1099,KY Simpson,0
1100,KY Spencer,1
1101,KY Taylor,1
1102,KY Todd,1
1103,KY Trigg,1
1104,KY Trimble,1
1105,KY Union,1
1106,KY Warren,0
1107,KY Washington,1
1108,KY Wayne,1
1109,KY Webster,1
1110,KY Whitley,1
1111,KY Wolfe,1
1112,KY Woodford,0
1113,LA Acadia,1
1114,LA Allen,1
1115,LA Ascension,0
1116,LA Assumption,0
1117,LA Avoyelles,1
1118,LA Beauregard,1
1119,LA Bienville,1
1120,LA Bossier,0
1121,LA Caddo,0
1122,LA Calcasieu,0
1123,LA Caldwell,1
1124,LA Cameron,1
1125,LA Catahoula,1
1126,LA Claiborne,1
1127,LA Concordia,0
1128,LA De Soto,1
1129,LA East Baton Rouge,0
1130,LA East Carroll,0
1131,LA East Feliciana,1
1132,LA Evangeline,1
1133,LA Franklin,1
1134,LA Grant,1
1135,LA Iberia,0
1136,LA Iberville,1
1137,LA Jackson,1
1138,LA Jefferson,0
1139,LA Jefferson Davis,1
1140,LA Lafayette,0
1141,LA Lafourche,0
1142,LA La Salle,1
1143,LA Lincoln,0
1144,LA Livingston,0
1145,LA Madison,0
1146,LA Morehouse,1
1147,LA Natchitoches,1
1148,LA Orleans,0
1149,LA Ouachita,0
1150,LA Plaquemines,0
1151,LA Pointe Coupee,1
1152,LA Rapides,0
1153,LA Red River,1
1154,LA Richland,1
1155,LA Sabine,1
1156,LA Saint Bernard,0
1157,LA Saint Charles,0
1158,LA Saint Helena,1
1159,LA Saint James,0
1160,LA Saint John the Baptist,0
1161,LA Saint Landry,0
1162,LA Saint Martin,0
1163,LA Saint Mary,0
1164,LA Saint Tammany,0
1165,LA Tangipahoa,0
1166,LA Tensas,1
1167,LA Terrebonne,0
1168,LA Union,1
1169,LA Vermilion,1
1170,LA Vernon,0
1171,LA Washington,1
1172,LA Webster,1
1173,LA West Baton Rouge,0
1174,LA West Carroll,1
1175,LA West Feliciana,1
1176,LA Winn,1
1177,ME Androscoggin,0
1178,ME Aroostook,1
1179,ME Cumberland,0
1180,ME Franklin,1
1181,ME Hancock,1
1182,ME Kennebec,1
1183,ME Knox,1
1184,ME Lincoln,1
1185,ME Oxford,1
1186,ME Penobscot,1
1187,ME Piscataquis,1
1188,ME Sagadahoc,1
1189,ME Somerset,1
1190,ME Waldo,1
1191,ME Washington,1
1192,ME York,1
1193,MD Allegany,0
1194,MD Anne Arundel,0
1195,MD Baltimore,0
1196,MD Calvert,0
1197,MD Caroline,1
1198,MD Carroll,0
1199,MD Cecil,0
1200,MD Charles,0
1201,MD Dorchester,1
1202,MD Frederick,0
1203,MD Garrett,1
1204,MD Harford,0
1205,MD Howard,0
1206,MD Kent,1
1207,MD Montgomery,0
1208,MD Prince George's,0
1209,MD Queen Anne's,1
1210,MD Saint Mary's,1
1211,MD Somerset,0
1212,MD Talbot,1
1213,MD Washington,0
1214,MD Wicomico,0
1215,MD Worcester,0
1216,MD Baltimore City,0
1217,MA Barnstable,0
1218,MA Berkshire,0
1219,MA Bristol,0
1220,MA Dukes,0
1221,MA Essex,0
1222,MA Franklin,1
1223,MA Hampden,0
1224,MA Hampshire,0
1225,MA Middlesex,0
